n	m	numberOfClusters	clusterProb	rp	pp	c3p	c4p	comp
769	16656	8	"195,288,262,13,4,3,2,2"	0.1	0.2	0.4	0.4	0.85
769	16656	8	"195,288,262,13,4,3,2,2"	0.1	0.2	0.4	0.4	0.85
769	16656	8	"195,288,262,13,4,3,2,2"	0.1	0.2	0.4	0.4	0.85
769	16656	8	"195,288,262,13,4,3,2,2"	0.1	0.2	0.4	0.4	0.85
769	16656	8	"195,288,262,13,4,3,2,2"	0.1	0.2	0.4	0.4	0.85
769	16656	8	"195,288,262,13,4,3,2,2"	0.1	0.2	0.4	0.4	0.85
769	16656	8	"195,288,262,13,4,3,2,2"	0.1	0.2	0.4	0.4	0.85
769	16656	8	"195,288,262,13,4,3,2,2"	0.1	0.2	0.4	0.4	0.85
769	16656	8	"195,288,262,13,4,3,2,2"	0.1	0.2	0.4	0.4	0.85
769	16656	8	"195,288,262,13,4,3,2,2"	0.1	0.2	0.4	0.4	0.85
