n	m	numberOfClusters	clusterProb	rp	pp	c3p	c4p	comp
34	78	3	"8, 17, 19"	0.04	0.14	0.41	0.41	0.8
34	78	3	"8, 17, 19"	0.04	0.14	0.41	0.41	0.8
34	78	3	"8, 17, 19"	0.04	0.14	0.41	0.41	0.8
34	78	3	"8, 17, 19"	0.04	0.14	0.41	0.41	0.8
34	78	3	"8, 17, 19"	0.04	0.14	0.41	0.41	0.8
34	78	3	"8, 17, 19"	0.04	0.14	0.41	0.41	0.8
34	78	3	"8, 17, 19"	0.04	0.14	0.41	0.41	0.8
34	78	3	"8, 17, 19"	0.04	0.14	0.41	0.41	0.8
34	78	3	"8, 17, 19"	0.04	0.14	0.41	0.41	0.8
34	78	3	"8, 17, 19"	0.04	0.14	0.41	0.41	0.8
