n	m	numberOfClusters	clusterProb	rp	pp	c3p	c4p	comp
500	5000	5	"1,1,1,1,1"	1	1	1	1	0.5
500	5000	5	"1,1,1,1,1"	1	1	1	1	0.5
500	5000	5	"1,1,1,1,1"	1	1	1	1	0.5
500	5000	5	"1,1,1,1,1"	1	1	1	1	0.5
500	5000	5	"1,1,1,1,1"	1	1	1	1	0.5
500	5000	5	"1,1,1,1,1"	1	1	1	1	0.5
500	5000	5	"1,1,1,1,1"	1	1	1	1	0.5
500	5000	5	"1,1,1,1,1"	1	1	1	1	0.5
500	5000	5	"1,1,1,1,1"	1	1	1	1	0.5
500	5000	5	"1,1,1,1,1"	1	1	1	1	0.5
500	5000	5	"1,1,1,1,1"	1	2	3	4	0.75
500	5000	5	"1,1,1,1,1"	1	2	3	4	0.75
500	5000	5	"1,1,1,1,1"	1	2	3	4	0.75
500	5000	5	"1,1,1,1,1"	1	2	3	4	0.75
500	5000	5	"1,1,1,1,1"	1	2	3	4	0.75
500	5000	5	"1,1,1,1,1"	1	2	3	4	0.75
500	5000	5	"1,1,1,1,1"	1	2	3	4	0.75
500	5000	5	"1,1,1,1,1"	1	2	3	4	0.75
500	5000	5	"1,1,1,1,1"	1	2	3	4	0.75
500	5000	5	"1,1,1,1,1"	1	2	3	4	0.75
500	5000	5	"1,10,20,50,100"	1	2	3	4	0.75
500	5000	5	"1,10,20,50,100"	1	2	3	4	0.75
500	5000	5	"1,10,20,50,100"	1	2	3	4	0.75
500	5000	5	"1,10,20,50,100"	1	2	3	4	0.75
500	5000	5	"1,10,20,50,100"	1	2	3	4	0.75
500	5000	5	"1,10,20,50,100"	1	2	3	4	0.75
500	5000	5	"1,10,20,50,100"	1	2	3	4	0.75
500	5000	5	"1,10,20,50,100"	1	2	3	4	0.75
500	5000	5	"1,10,20,50,100"	1	2	3	4	0.75
500	5000	5	"1,10,20,50,100"	1	2	3	4	0.75
500	5000	5	"1,10,20,50,100"	1	5	1	1	0.25
500	5000	5	"1,10,20,50,100"	1	5	1	1	0.25
500	5000	5	"1,10,20,50,100"	1	5	1	1	0.25
500	5000	5	"1,10,20,50,100"	1	5	1	1	0.25
500	5000	5	"1,10,20,50,100"	1	5	1	1	0.25
500	5000	5	"1,10,20,50,100"	1	5	1	1	0.25
500	5000	5	"1,10,20,50,100"	1	5	1	1	0.25
500	5000	5	"1,10,20,50,100"	1	5	1	1	0.25
500	5000	5	"1,10,20,50,100"	1	5	1	1	0.25
500	5000	5	"1,10,20,50,100"	1	5	1	1	0.25
500	2000	5	"1,1,1,1,1"	1	1	1	1	0.5
500	2000	5	"1,1,1,1,1"	1	1	1	1	0.5
500	2000	5	"1,1,1,1,1"	1	1	1	1	0.5
500	2000	5	"1,1,1,1,1"	1	1	1	1	0.5
500	2000	5	"1,1,1,1,1"	1	1	1	1	0.5
500	2000	5	"1,1,1,1,1"	1	1	1	1	0.5
500	2000	5	"1,1,1,1,1"	1	1	1	1	0.5
500	2000	5	"1,1,1,1,1"	1	1	1	1	0.5
500	2000	5	"1,1,1,1,1"	1	1	1	1	0.5
500	2000	5	"1,1,1,1,1"	1	1	1	1	0.5
500	2000	5	"1,1,1,1,1"	1	2	3	4	0.75
500	2000	5	"1,1,1,1,1"	1	2	3	4	0.75
500	2000	5	"1,1,1,1,1"	1	2	3	4	0.75
500	2000	5	"1,1,1,1,1"	1	2	3	4	0.75
500	2000	5	"1,1,1,1,1"	1	2	3	4	0.75
500	2000	5	"1,1,1,1,1"	1	2	3	4	0.75
500	2000	5	"1,1,1,1,1"	1	2	3	4	0.75
500	2000	5	"1,1,1,1,1"	1	2	3	4	0.75
500	2000	5	"1,1,1,1,1"	1	2	3	4	0.75
500	2000	5	"1,1,1,1,1"	1	2	3	4	0.75
500	2000	5	"1,10,20,50,100"	1	2	3	4	0.75
500	2000	5	"1,10,20,50,100"	1	2	3	4	0.75
500	2000	5	"1,10,20,50,100"	1	2	3	4	0.75
500	2000	5	"1,10,20,50,100"	1	2	3	4	0.75
500	2000	5	"1,10,20,50,100"	1	2	3	4	0.75
500	2000	5	"1,10,20,50,100"	1	2	3	4	0.75
500	2000	5	"1,10,20,50,100"	1	2	3	4	0.75
500	2000	5	"1,10,20,50,100"	1	2	3	4	0.75
500	2000	5	"1,10,20,50,100"	1	2	3	4	0.75
500	2000	5	"1,10,20,50,100"	1	2	3	4	0.75
500	2000	5	"1,10,20,50,100"	1	5	1	1	0.25
500	2000	5	"1,10,20,50,100"	1	5	1	1	0.25
500	2000	5	"1,10,20,50,100"	1	5	1	1	0.25
500	2000	5	"1,10,20,50,100"	1	5	1	1	0.25
500	2000	5	"1,10,20,50,100"	1	5	1	1	0.25
500	2000	5	"1,10,20,50,100"	1	5	1	1	0.25
500	2000	5	"1,10,20,50,100"	1	5	1	1	0.25
500	2000	5	"1,10,20,50,100"	1	5	1	1	0.25
500	2000	5	"1,10,20,50,100"	1	5	1	1	0.25
500	2000	5	"1,10,20,50,100"	1	5	1	1	0.25
