"n" "m" "cc" "pl" "mod" "diam" "alpha"
"1" 769 16656 0.172297872923795 2.19382246965756 0.32166488029284 4 1.51951498857262
"2" 769 16656 0.169784461840873 2.19709714997833 0.324469908580108 4 1.51986153536953
"3" 769 16656 0.171288321918815 2.19887502709146 0.333326924332437 4 1.51867736497829
"4" 769 16656 0.166878504004719 2.19438461746857 0.336199919389331 4 1.51740096820115
"5" 769 16656 0.168523786401087 2.19404597420893 0.324458665793947 4 1.51875271394698
"6" 769 16656 0.171067779853872 2.19222407347204 0.328650783187119 4 1.51833468611729
"7" 769 16656 0.172656298709396 2.19972840810577 0.32193853886372 4 1.51940951533695
"8" 769 16656 0.172514004333731 2.19836706220199 0.334507622342276 4 1.51918806427283
"9" 769 16656 0.169466593954044 2.19424916016472 0.326549182398925 4 1.51906870091024
"10" 769 16656 0.171735974271676 2.19735451885566 0.324830971793129 4 1.51791958606966
"11" NA NA NA NA NA NA NA
"12" NA NA NA NA NA NA NA
"13" NA NA NA NA NA NA NA
"14" NA NA NA NA NA NA NA
"15" NA NA NA NA NA NA NA
"16" NA NA NA NA NA NA NA
"17" NA NA NA NA NA NA NA
"18" NA NA NA NA NA NA NA
"19" NA NA NA NA NA NA NA
"20" NA NA NA NA NA NA NA
"21" NA NA NA NA NA NA NA
"22" NA NA NA NA NA NA NA
"23" NA NA NA NA NA NA NA
"24" NA NA NA NA NA NA NA
"25" NA NA NA NA NA NA NA
"26" NA NA NA NA NA NA NA
"27" NA NA NA NA NA NA NA
"28" NA NA NA NA NA NA NA
"29" NA NA NA NA NA NA NA
"30" NA NA NA NA NA NA NA
"31" NA NA NA NA NA NA NA
"32" NA NA NA NA NA NA NA
"33" NA NA NA NA NA NA NA
"34" NA NA NA NA NA NA NA
"35" NA NA NA NA NA NA NA
"36" NA NA NA NA NA NA NA
"37" NA NA NA NA NA NA NA
"38" NA NA NA NA NA NA NA
"39" NA NA NA NA NA NA NA
"40" NA NA NA NA NA NA NA
"41" NA NA NA NA NA NA NA
"42" NA NA NA NA NA NA NA
"43" NA NA NA NA NA NA NA
"44" NA NA NA NA NA NA NA
"45" NA NA NA NA NA NA NA
"46" NA NA NA NA NA NA NA
"47" NA NA NA NA NA NA NA
"48" NA NA NA NA NA NA NA
"49" NA NA NA NA NA NA NA
"50" NA NA NA NA NA NA NA
"51" NA NA NA NA NA NA NA
"52" NA NA NA NA NA NA NA
"53" NA NA NA NA NA NA NA
"54" NA NA NA NA NA NA NA
"55" NA NA NA NA NA NA NA
"56" NA NA NA NA NA NA NA
"57" NA NA NA NA NA NA NA
"58" NA NA NA NA NA NA NA
"59" NA NA NA NA NA NA NA
"60" NA NA NA NA NA NA NA
"61" NA NA NA NA NA NA NA
"62" NA NA NA NA NA NA NA
"63" NA NA NA NA NA NA NA
"64" NA NA NA NA NA NA NA
"65" NA NA NA NA NA NA NA
"66" NA NA NA NA NA NA NA
"67" NA NA NA NA NA NA NA
"68" NA NA NA NA NA NA NA
"69" NA NA NA NA NA NA NA
"70" NA NA NA NA NA NA NA
"71" NA NA NA NA NA NA NA
"72" NA NA NA NA NA NA NA
"73" NA NA NA NA NA NA NA
"74" NA NA NA NA NA NA NA
"75" NA NA NA NA NA NA NA
"76" NA NA NA NA NA NA NA
"77" NA NA NA NA NA NA NA
"78" NA NA NA NA NA NA NA
"79" NA NA NA NA NA NA NA
"80" NA NA NA NA NA NA NA
"81" NA NA NA NA NA NA NA
"82" NA NA NA NA NA NA NA
"83" NA NA NA NA NA NA NA
"84" NA NA NA NA NA NA NA
"85" NA NA NA NA NA NA NA
"86" NA NA NA NA NA NA NA
"87" NA NA NA NA NA NA NA
"88" NA NA NA NA NA NA NA
"89" NA NA NA NA NA NA NA
"90" NA NA NA NA NA NA NA
"91" NA NA NA NA NA NA NA
"92" NA NA NA NA NA NA NA
"93" NA NA NA NA NA NA NA
"94" NA NA NA NA NA NA NA
"95" NA NA NA NA NA NA NA
"96" NA NA NA NA NA NA NA
"97" NA NA NA NA NA NA NA
"98" NA NA NA NA NA NA NA
"99" NA NA NA NA NA NA NA
"100" NA NA NA NA NA NA NA
